time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-20T12:08:15.920Z,34.1861667,-117.5091667,4.08,1.63,ml,56,27,0.02234,0.18,ci,ci38278023,2019-03-20T12:19:15.980Z,"8km S of Lytle Creek, CA",earthquake,0.19,0.49,0.108,27,automatic,ci,ci
2019-03-20T12:06:02.360Z,36.068,-117.6853333,0.19,3.2,ml,37,30,0.07758,0.2,ci,ci38277999,2019-03-20T18:17:26.055Z,"24km E of Coso Junction, CA",earthquake,0.18,0.33,0.133,240,reviewed,ci,ci
2019-03-20T11:57:46.630Z,64.1202,-148.8064,0,1.2,ml,,,,0.73,ak,ak0193muci2t,2019-03-20T12:05:39.280Z,"30km NNE of Healy, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-03-20T11:55:06.699Z,58.1501,-156.4212,2.1,2.2,ml,,,,0.8,ak,ak0193mubzkf,2019-03-20T12:00:06.680Z,"61km SSE of King Salmon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-20T11:53:33.139Z,64.1515,-148.8655,3.6,0.9,ml,,,,0.42,ak,ak0193mubm69,2019-03-20T11:56:45.451Z,"33km N of Healy, Alaska",earthquake,,3.5,,,automatic,ak,ak
2019-03-20T11:50:15.980Z,38.8101654,-122.824501,1.41,1.07,md,14,89,0.003877,0.09,nc,nc73154536,2019-03-20T13:42:03.453Z,"7km WNW of The Geysers, CA",earthquake,0.32,0.56,0.04,2,automatic,nc,nc
2019-03-20T11:49:29.030Z,33.494,-116.7863333,5.45,0.76,ml,28,67,0.02174,0.17,ci,ci38277975,2019-03-20T13:20:23.445Z,"9km NE of Aguanga, CA",earthquake,0.24,0.87,0.093,20,reviewed,ci,ci
2019-03-20T11:21:19.570Z,38.8148346,-122.8205032,2.66,0.56,md,9,73,0.01181,0.03,nc,nc73154531,2019-03-20T13:16:03.292Z,"7km NW of The Geysers, CA",earthquake,0.42,1,,1,automatic,nc,nc
2019-03-20T11:18:51.550Z,38.8276672,-122.7645035,13.8,0.63,md,9,227,0.005069,0.09,nc,nc73154526,2019-03-20T12:49:03.134Z,"4km W of Cobb, CA",earthquake,2.12,1.17,,1,automatic,nc,nc
2019-03-20T11:16:37.170Z,-23.338,-67.7873,127.97,4.4,mb,,63,0.526,1.11,us,us1000jj60,2019-03-20T12:49:54.040Z,"64km SE of San Pedro de Atacama, Chile",earthquake,8.2,9.5,0.154,12,reviewed,us,us
